Model,Link to model,Release,Type,# θ (B),n-shot,Average ⬆️,Agree,Agree avg_mcauroc,BB,BB acc,CCL-MC,CCL-MC acc,CCL-OPEN,CCL-OPEN exact_match,CCL-TF,CCL-TF avg_mcauroc,CCM-MC,CCM-MC acc,CCM-OPEN,CCM-OPEN exact_match,CNC-KSK,CNC-KSK word_perplexity,CCDNER,CCDNER exact_match,NQ,NQ exact_match,CNEC,CNEC exact_match,SQAD32,SQAD32 exact_match,TQA,TQA exact_match,CFR,CFR avg_mcauroc,CTK,CTK avg_mcauroc,CNC-DIAL,CNC-DIAL word_perplexity,CNC-E,CNC-E word_perplexity,CNC-F,CNC-F word_perplexity,GEC,GEC avg_mcauroc,CNC-KH,CNC-KH word_perplexity,HASG,HASG acc,HIST,HIST word_perplexity,HIST-IR,HIST-IR acc,KQA,KQA acc,P-ARG,P-ARG avg_mcauroc,P-DEMON,P-DEMON avg_mcauroc,P-EMOCE,P-EMOCE avg_mcauroc,P-FAB,P-FAB avg_mcauroc,P-LOK,P-LOK avg_mcauroc,P-LEP,P-LEP avg_mcauroc,P-NAZOR,P-NAZOR avg_mcauroc,P-REL,P-REL avg_mcauroc,P-RUS,P-RUS avg_mcauroc,P-STCH,P-STCH avg_mcauroc,P-VINA,P-VINA avg_mcauroc,P-MER,P-MER avg_mcauroc,P-ZANR,P-ZANR avg_mcauroc,S-CSFD,S-CSFD avg_mcauroc,S-FB,S-FB avg_mcauroc,S-MALL,S-MALL avg_mcauroc,SNLI,SNLI avg_mcauroc,CNC-SPK,CNC-SPK word_perplexity,SUBJ,SUBJ avg_mcauroc,UT-BIO,UT-BIO acc,UT-CHEM,UT-CHEM acc,UT-CZEL,UT-CZEL acc,UT-HIST,UT-HIST acc,UT-IT,UT-IT acc,UT-MATH,UT-MATH acc,UT-PHYS,UT-PHYS acc
AMead10/c4ai-command-r-08-2024-awq,https://huggingface.co/AMead10/c4ai-command-r-08-2024-awq,2024-10-11,chat,32.3,3,70.12182112988565,90.32258064516128,93.06346335718516,67.74193548387096,88.63636363636364,70.96774193548387,52.38828967642527,80.64516129032258,17.628205128205128,80.64516129032258,81.12701252236137,6.451612903225806,26.190476190476193,32.25806451612903,5.9748427672955975,87.09677419354838,544.3030934283744,90.32258064516128,65.79817227299242,80.64516129032258,17.668235945721406,87.09677419354838,67.24581724581724,67.74193548387096,50.0886839304718,87.09677419354838,47.68011399056016,77.41935483870968,84.32826669877956,93.54838709677419,89.25774816670074,100.0,47.757572606942425,100.0,64.27876987219369,87.09677419354838,151.3335832126588,93.54838709677419,73.03695762858331,83.87096774193549,569.4404641956207,87.09677419354838,64.27006572395936,80.64516129032258,371.12540071849105,54.83870967741935,38.01065719360569,58.06451612903226,25.774473358116477,70.96774193548387,64.41546773657588,83.87096774193549,83.8968003125111,41.935483870967744,64.79397503173664,54.83870967741935,61.29666389415046,61.29032258064516,85.11925609416697,83.87096774193549,70.55487351190477,35.483870967741936,68.9001916556096,64.51612903225806,64.83741074326517,41.935483870967744,59.36495977739106,77.41935483870968,69.13621621621621,32.25806451612903,55.78428729072107,87.09677419354838,86.77626480477552,77.41935483870968,94.06683795942924,96.7741935483871,92.0992381895232,77.41935483870968,91.86983840831047,96.7741935483871,80.9444549806781,64.51612903225806,84.18616690456696,100.0,74.44745886212361,100.0,94.46470039669583,70.96774193548387,92.0,80.64516129032258,91.0,3.225806451612903,59.0,70.96774193548387,91.0,61.29032258064516,91.0,32.25806451612903,76.0,29.03225806451613,81.0
BUT-FIT/CSTinyLlama-1.2B,https://huggingface.co/BUT-FIT/CSTinyLlama-1.2B,2024-09-23,pretrained,1.23,3,10.5894777265745,0.0,54.15584603618986,0.0,24.545454545454547,0.0,27.426810477657938,0.0,0.0,3.225806451612903,49.325183860067575,9.67741935483871,27.77777777777778,0.0,0.3144654088050315,100.0,328.22167741902416,6.451612903225806,4.2193272409099745,0.0,1.3850415512465373,3.225806451612903,13.945578231292515,0.0,7.875133025895707,16.129032258064516,5.913260308130733,0.0,51.46712038409817,0.0,51.10137464236004,67.74193548387096,98.25044240661191,87.09677419354838,82.42153082261214,96.7741935483871,100.75771353652912,0.0,50.78012733379109,96.7741935483871,345.0774929329619,19.35483870967742,42.411870145389365,96.7741935483871,197.34694088221934,0.0,26.820603907637658,0.0,20.074349442379184,3.225806451612903,46.07286295070131,3.225806451612903,59.50317837991407,0.0,41.17627969888804,0.0,45.24379503882688,9.67741935483871,70.52548880970852,0.0,37.11848958333333,0.0,31.487889273356405,0.0,37.08566617981175,0.0,47.41167153892833,0.0,36.07171171171172,0.0,46.11426517069371,12.903225806451612,54.67039403168775,0.0,65.78309991703875,0.0,72.63995525622838,0.0,62.587284495835384,0.0,63.42360932049543,0.0,50.270349804993195,77.41935483870968,135.13930026293198,6.451612903225806,53.630282135627525,0.0,47.0,0.0,59.0,6.451612903225806,62.0,0.0,61.0,0.0,42.0,0.0,49.0,3.225806451612903,62.0
BUT-FIT/csmpt7b,https://huggingface.co/BUT-FIT/csmpt7b,2024-09-23,pretrained,6.7,3,15.725806451612906,25.806451612903224,68.32159387174764,3.225806451612903,26.36363636363636,0.0,25.731895223420647,3.225806451612903,0.964630225080386,9.67741935483871,52.004571655734445,0.0,22.22222222222222,0.0,0.3144654088050315,96.7741935483871,361.3152181368303,9.67741935483871,8.205327629788062,0.0,1.4958448753462603,9.67741935483871,17.107924250781394,9.67741935483871,16.67257892869812,19.35483870967742,7.222370647430759,3.225806451612903,51.85014553953852,3.225806451612903,51.52869079597967,54.83870967741935,108.95194455754131,90.32258064516128,78.48851206407204,100.0,93.83558368831436,0.0,50.844971342890375,100.0,250.80713280528585,48.38709677419355,49.27305317665804,100.0,158.21798782793385,0.0,25.843694493783303,0.0,20.693928128872365,45.16129032258064,53.98549386894433,19.35483870967742,71.54728505983879,0.0,46.04845663175033,22.58064516129032,59.0818544638676,0.0,63.80155328888269,12.903225806451612,60.491443452380956,19.35483870967742,64.50035122408096,51.61290322580645,63.18463972736124,0.0,44.77730287476249,51.61290322580645,64.93837837837837,58.06451612903226,57.83213745375018,16.129032258064516,56.31856936628662,3.225806451612903,70.03940973297597,22.58064516129032,80.52658642155505,6.451612903225806,69.07973164899083,9.67741935483871,68.2106891134083,3.225806451612903,50.33663633534103,83.87096774193549,122.83711253906482,9.67741935483871,54.49869196486874,3.225806451612903,59.0,0.0,63.0,0.0,50.0,0.0,65.0,0.0,52.0,0.0,52.0,0.0,52.0
CohereForAI/aya-23-35B,https://huggingface.co/CohereForAI/aya-23-35B,2024-09-23,chat,35.0,3,56.70762928827445,77.41935483870968,90.45006086973399,70.96774193548387,87.5,61.29032258064516,48.38212634822804,80.64516129032258,15.112540192926044,64.51612903225806,76.94593520174917,0.0,19.047619047619047,19.35483870967742,4.40251572327044,90.32258064516128,458.24597376549445,87.09677419354838,58.312269103636005,80.64516129032258,18.22714681440443,51.61290322580645,58.135686707115276,67.74193548387096,51.08194395175594,77.41935483870968,42.22994033306617,70.96774193548387,83.95009971932055,83.87096774193549,88.29897013120383,83.87096774193549,70.91692022553165,77.41935483870968,99.37368287633247,77.41935483870968,164.9960883362177,87.09677419354838,71.1488861796593,67.74193548387096,1599.8547053519483,83.87096774193549,62.37801234813782,67.74193548387096,662.9990213039615,45.16129032258064,37.211367673179396,0.0,22.18091697645601,12.903225806451612,48.92086035797652,32.25806451612903,72.84704712525303,32.25806451612903,63.66547454623298,22.58064516129032,58.83197852814337,41.935483870967744,78.80956139997978,22.58064516129032,62.602306547619044,25.806451612903224,65.74286061173696,32.25806451612903,61.1966488153197,9.67741935483871,54.09429424413709,19.35483870967742,59.36144144144144,19.35483870967742,52.60796620579114,70.96774193548387,84.45349782135675,70.96774193548387,91.97251762304644,93.54838709677419,91.4887286328605,83.87096774193549,92.7441812752504,48.38709677419355,78.48465381331536,77.41935483870968,86.02139933677532,90.32258064516128,120.16257213002129,93.54838709677419,92.11334910049628,45.16129032258064,87.0,29.03225806451613,75.0,25.806451612903224,63.0,32.25806451612903,84.0,45.16129032258064,88.0,32.25806451612903,75.0,22.58064516129032,75.0
CohereForAI/aya-23-8B,https://huggingface.co/CohereForAI/aya-23-8B,2024-09-23,chat,8.03,3,39.52359617682198,41.935483870967744,80.33637441405604,45.16129032258064,78.18181818181819,22.58064516129032,34.514637904468415,38.70967741935484,4.501607717041801,41.935483870967744,66.5643013317432,12.903225806451612,26.984126984126984,6.451612903225806,1.8867924528301887,67.74193548387096,812.7738145073133,41.935483870967744,41.434960139996114,74.19354838709677,13.822714681440443,38.70967741935484,53.254274682846116,67.74193548387096,51.08194395175594,54.83870967741935,30.394514204292456,38.70967741935484,79.7346003991907,45.16129032258064,83.79167506264658,64.51612903225806,102.18103189832004,61.29032258064516,150.33521505800076,64.51612903225806,258.6570564942501,35.483870967741936,55.83819359781019,38.70967741935484,4242.118213182806,74.19354838709677,54.33180641306513,45.16129032258064,1196.8965618217055,25.806451612903224,31.70515097690941,0.0,20.322180916976457,22.58064516129032,49.22936178766732,38.70967741935484,73.76238502787741,25.806451612903224,59.9033535067757,22.58064516129032,58.674888691628624,29.03225806451613,76.17698783036043,29.03225806451613,63.42615327380952,35.483870967741936,68.93488045372949,67.74193548387096,64.84045358649789,3.225806451612903,51.50271663709829,29.03225806451613,62.44828828828829,51.61290322580645,57.41158230597541,35.483870967741936,66.88508955413855,41.935483870967744,86.42096950924851,90.32258064516128,91.24929057317695,77.41935483870968,91.76441369222493,38.70967741935484,77.95852608603991,67.74193548387096,84.20879795115796,70.96774193548387,177.0313772254345,58.06451612903226,79.74509639872012,25.806451612903224,80.0,0.0,69.0,0.0,51.0,22.58064516129032,77.0,25.806451612903224,80.0,9.67741935483871,65.0,22.58064516129032,74.0
NousResearch/Hermes-3-Llama-3.1-8B,https://huggingface.co/NousResearch/Hermes-3-Llama-3.1-8B,2024-09-23,chat,8.03,3,50.246415770609325,61.29032258064516,84.51564733698221,45.16129032258064,80.3409090909091,48.38709677419355,42.68104776579353,58.06451612903226,9.646302250803858,58.06451612903226,70.53543033194197,0.0,23.809523809523807,38.70967741935484,6.289308176100629,38.70967741935484,1715.1804396469888,64.51612903225806,51.58467820338324,51.61290322580645,9.916897506925208,67.74193548387096,60.461481890053314,61.29032258064516,48.56332032635686,54.83870967741935,30.839789829904714,54.83870967741935,82.37839517724201,45.16129032258064,83.51226539039664,45.16129032258064,124.09560475767444,35.483870967741936,283.9549025159126,41.935483870967744,474.09913258892624,77.41935483870968,66.49293965424626,48.38709677419355,3428.761807960029,58.06451612903226,51.94184425413264,38.70967741935484,1295.3395476954852,67.74193548387096,42.00710479573712,0.0,20.44609665427509,61.29032258064516,57.71438182795301,16.129032258064516,71.47270854788877,32.25806451612903,61.80815057735756,77.41935483870968,63.95059096532491,54.83870967741935,80.8832916025652,64.51612903225806,67.26116071428572,61.29032258064516,71.52006313361257,61.29032258064516,64.4788623823434,6.451612903225806,53.56632036287472,77.41935483870968,68.92612612612614,29.03225806451613,54.99098721232729,70.96774193548387,83.83136433820204,64.51612903225806,90.17108176789522,67.74193548387096,88.64983534020708,67.74193548387096,88.90850791528749,58.06451612903226,79.05499899542278,70.96774193548387,85.01979148827245,48.38709677419355,295.2288500098038,64.51612903225806,80.78484148491577,38.70967741935484,84.0,38.70967741935484,80.0,6.451612903225806,61.0,32.25806451612903,84.0,32.25806451612903,84.0,12.903225806451612,67.0,22.58064516129032,74.0
Qwen/Qwen2-72B-Instruct,https://huggingface.co/Qwen/Qwen2-72B-Instruct,2024-09-23,chat,72.7,3,78.48288957159924,93.54838709677419,93.59159980795194,90.32258064516128,92.5,90.32258064516128,64.56086286594761,80.64516129032258,16.98717948717949,93.54838709677419,91.17968594712781,77.41935483870968,38.88888888888889,96.7741935483871,21.38364779874214,64.51612903225806,819.3599317218395,74.19354838709677,54.81236632315769,80.64516129032258,17.668235945721406,90.32258064516128,69.67273395844825,48.38709677419355,46.08017027314651,83.87096774193549,44.26039718585805,93.54838709677419,85.9932006955872,83.87096774193549,88.39407077475762,77.41935483870968,76.25873594408495,64.51612903225806,144.21254314801237,67.74193548387096,240.33256252188124,83.87096774193549,69.76535736139721,77.41935483870968,755.9231821700442,35.483870967741936,47.032463652658834,77.41935483870968,506.7181014477698,93.54838709677419,64.03197158081704,96.7741935483871,40.02478314745972,90.32258064516128,68.91304526191854,67.74193548387096,81.52100571753257,32.25806451612903,63.75799116456632,54.83870967741935,61.453578992248616,83.87096774193549,86.8410524523616,90.32258064516128,72.51134672619047,64.51612903225806,72.06857975388297,61.29032258064516,64.61477604673806,25.806451612903224,55.68429417040974,67.74193548387096,67.71315315315314,41.935483870967744,56.833490620209616,90.32258064516128,89.93673326549943,70.96774193548387,92.99671742836118,32.25806451612903,83.3782120460594,93.54838709677419,93.37717059815719,80.64516129032258,79.7117788154147,100.0,91.91211458938517,67.74193548387096,187.73185262756957,77.41935483870968,87.467528691067,83.87096774193549,96.0,93.54838709677419,96.0,19.35483870967742,63.0,83.87096774193549,95.0,90.32258064516128,98.0,93.54838709677419,93.0,83.87096774193549,90.0
Qwen/Qwen2-7B-Instruct,https://huggingface.co/Qwen/Qwen2-7B-Instruct,2024-09-23,chat,7.62,3,47.99667178699437,54.83870967741935,82.10785991202651,58.06451612903226,82.61363636363637,45.16129032258064,41.910631741140215,41.935483870967744,5.144694533762058,61.29032258064516,73.86404293381037,25.806451612903224,30.158730158730158,48.38709677419355,7.547169811320755,22.58064516129032,3082.713445653877,51.61290322580645,44.09877503402683,41.935483870967744,9.168975069252078,48.38709677419355,54.320647177790036,35.483870967741936,41.43313231642426,41.935483870967744,22.789206518835158,58.06451612903226,82.90575460656781,48.38709677419355,84.07069103644069,25.806451612903224,179.00093670942871,22.58064516129032,455.09195103839966,22.58064516129032,876.6796710409836,58.06451612903226,60.52971978158004,35.483870967741936,4461.735407863931,32.25806451612903,46.13622784305915,29.03225806451613,1998.3065024823625,80.64516129032258,47.42451154529307,64.51612903225806,27.385377942998762,64.51612903225806,60.07644845933894,48.38709677419355,76.69750346248092,32.25806451612903,64.3464409418429,80.64516129032258,65.72348694005075,45.16129032258064,79.20086136473955,54.83870967741935,65.37183779761907,41.935483870967744,69.46735350486944,22.58064516129032,58.69036027263874,0.0,49.69356560756091,35.483870967741936,62.91207207207208,83.87096774193549,63.65612095610448,51.61290322580645,78.76817078097349,29.03225806451613,81.54747752666293,38.70967741935484,84.49749553199827,38.70967741935484,86.20438095544745,45.16129032258064,78.260470871524,83.87096774193549,87.31548888783438,29.03225806451613,432.1128405510646,54.83870967741935,79.37740282584564,22.58064516129032,73.0,38.70967741935484,81.0,0.0,56.99999999999999,25.806451612903224,80.0,54.83870967741935,89.0,64.51612903225806,84.0,51.61290322580645,83.0
Qwen/Qwen2-7B,https://huggingface.co/Qwen/Qwen2-7B,2024-09-23,pretrained,7.62,3,45.000213346987536,41.935483870967744,80.61643555646341,54.83870967741935,81.81818181818183,41.935483870967744,39.907550077041606,41.935483870967744,5.144694533762058,54.83870967741935,69.37686344663089,29.03225806451613,30.952380952380953,67.74193548387096,9.433962264150944,38.70967741935484,1714.5695762939743,67.74193548387096,53.179078358934476,41.935483870967744,9.058171745152354,67.74193548387096,59.93748850891708,54.83870967741935,47.57006030507272,45.16129032258064,24.926529521773976,45.16129032258064,81.16194094289352,48.38709677419355,83.97453343392156,35.483870967741936,131.8311675906285,32.25806451612903,356.92487462129634,32.25806451612903,620.6363242381478,45.16129032258064,57.32414530812815,54.83870967741935,3313.9138271134075,29.03225806451613,45.269866560446125,35.483870967741936,1480.2334297843784,32.25806451612903,32.770870337477795,58.06451612903226,27.01363073110285,12.903225806451612,48.727329042209725,41.935483870967744,75.54867005220356,9.67741935483871,54.65239343414679,35.483870967741936,59.49371291177108,29.03225806451613,74.29823552727255,35.483870967741936,64.01618303571428,51.61290322580645,71.06130377847735,32.25806451612903,60.52519474196689,0.0,41.490418481305056,29.03225806451613,62.41837837837838,41.935483870967744,56.96656031077889,32.25806451612903,63.901325759183955,38.70967741935484,86.03916691263845,70.96774193548387,88.75981836634051,41.935483870967744,86.43277257815899,41.935483870967744,78.14250632508623,87.09677419354838,87.50360649701423,38.70967741935484,338.84626161264276,41.935483870967744,75.75125293848765,22.58064516129032,72.0,38.70967741935484,80.0,0.0,59.0,25.806451612903224,81.0,35.483870967741936,86.0,70.96774193548387,85.0,29.03225806451613,78.0
allenai/OLMo-7B-Instruct-hf,https://huggingface.co/allenai/OLMo-7B-Instruct-hf,2024-09-23,chat,6.7,3,6.789767878477555,6.451612903225806,57.5239127175901,12.903225806451612,39.09090909090909,0.0,24.80739599383667,3.225806451612903,0.964630225080386,0.0,47.82175511826674,0.0,20.634920634920633,0.0,1.257861635220126,0.0,48490.67212438386,16.129032258064516,17.907835893447405,0.0,1.2742382271468145,12.903225806451612,30.354844640558927,16.129032258064516,24.015608371763037,9.67741935483871,3.6156380799715024,22.58064516129032,69.31190225582506,25.806451612903224,68.03333502177873,0.0,934.4198810472784,0.0,5547.42898705992,0.0,16035.360021777133,22.58064516129032,53.151473961033815,0.0,104420.0655818285,0.0,31.288587930691097,0.0,43037.24734206159,0.0,26.820603907637658,0.0,20.074349442379184,12.903225806451612,48.64548591026382,12.903225806451612,70.10636031109058,0.0,43.66599580815871,16.129032258064516,57.1903111042769,9.67741935483871,68.86498498226351,19.35483870967742,61.520089285714285,12.903225806451612,62.234739096877135,16.129032258064516,57.88197825381369,0.0,41.73582867451437,12.903225806451612,58.27747747747748,12.903225806451612,51.647642444487715,12.903225806451612,55.40585053992486,12.903225806451612,74.66316314457012,6.451612903225806,74.48672181815562,19.35483870967742,77.1254941664973,12.903225806451612,68.65035766687213,22.58064516129032,66.74246920766778,6.451612903225806,1857.340816913084,0.0,52.19764186365416,0.0,57.99999999999999,0.0,57.99999999999999,0.0,53.0,0.0,61.0,6.451612903225806,63.0,0.0,56.00000000000001,0.0,56.99999999999999
