Competitor,Link to model,Agree,BB,CCL-MC,CCL-OPEN,CCL-TF,CCM-MC,CCM-OPEN,CNC-KSK,CCDNER,NQ,CNEC,SQAD32,TQA,CFR,CTK,CNC-DIAL,CNC-E,CNC-F,GEC,CNC-KH,HASG,HIST,HIST-IR,KQA,P-ARG,P-DEMON,P-EMOCE,P-FAB,P-LOK,P-LEP,P-NAZOR,P-REL,P-RUS,P-STCH,P-VINA,P-MER,P-ZANR,S-CSFD,S-FB,S-MALL,SNLI,CNC-SPK,SUBJ,UT-BIO,UT-CHEM,UT-CZEL,UT-HIST,UT-IT,UT-MATH,UT-PHYS
CohereForAI/aya-23-8B,https://huggingface.co/CohereForAI/aya-23-8B,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False
meta-llama/Meta-Llama-3.1-8B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3.1-8B-Instruct,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False
mistralai/Mixtral-8x7B-Instruct-v0.1,https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False
meta-llama/Meta-Llama-3-8B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False
mosaicml/mpt-7b,https://huggingface.co/mosaicml/mpt-7b,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CohereForAI/aya-23-35B,https://huggingface.co/CohereForAI/aya-23-35B,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False
NousResearch/Hermes-3-Llama-3.1-8B,https://huggingface.co/NousResearch/Hermes-3-Llama-3.1-8B,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False
meta-llama/Llama-3.2-1B,https://huggingface.co/meta-llama/Llama-3.2-1B,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
google/gemma-2-2b-it,https://huggingface.co/google/gemma-2-2b-it,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False
meta-llama/Meta-Llama-3.1-405B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3.1-405B-Instruct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False
google/gemma-2-2b,https://huggingface.co/google/gemma-2-2b,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True
BUT-FIT/CSTinyLlama-1.2B,https://huggingface.co/BUT-FIT/CSTinyLlama-1.2B,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
internlm/internlm2_5-7b-chat,https://huggingface.co/internlm/internlm2_5-7b-chat,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False
mistralai/Mixtral-8x22B-Instruct-v0.1,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False
