Model,Link to model,Submitted,Type,# θ (B),n-shot,Average ⬆️,Agree,Agree avg_mcauroc,BB,BB acc,CCL-MC,CCL-MC acc,CCL-OPEN,CCL-OPEN exact_match,CCL-TF,CCL-TF avg_mcauroc,CCM-MC,CCM-MC acc,CCM-OPEN,CCM-OPEN exact_match,CNC-KSK,CNC-KSK word_perplexity,CCDNER,CCDNER exact_match,NQ,NQ exact_match,CNEC,CNEC exact_match,SQAD32,SQAD32 exact_match,TQA,TQA exact_match,CFR,CFR avg_mcauroc,CTK,CTK avg_mcauroc,CNC-DIAL,CNC-DIAL word_perplexity,CNC-E,CNC-E word_perplexity,CNC-F,CNC-F word_perplexity,GEC,GEC avg_mcauroc,CNC-KH,CNC-KH word_perplexity,HASG,HASG acc,HIST,HIST word_perplexity,HIST-IR,HIST-IR acc,KQA,KQA acc,P-ARG,P-ARG avg_mcauroc,P-DEMON,P-DEMON avg_mcauroc,P-EMOCE,P-EMOCE avg_mcauroc,P-FAB,P-FAB avg_mcauroc,P-LOK,P-LOK avg_mcauroc,P-LEP,P-LEP avg_mcauroc,P-NAZOR,P-NAZOR avg_mcauroc,P-REL,P-REL avg_mcauroc,P-RUS,P-RUS avg_mcauroc,P-STCH,P-STCH avg_mcauroc,P-VINA,P-VINA avg_mcauroc,P-MER,P-MER avg_mcauroc,P-ZANR,P-ZANR avg_mcauroc,S-CSFD,S-CSFD avg_mcauroc,S-FB,S-FB avg_mcauroc,S-MALL,S-MALL avg_mcauroc,SNLI,SNLI avg_mcauroc,CNC-SPK,CNC-SPK word_perplexity,SUBJ,SUBJ avg_mcauroc,UT-BIO,UT-BIO acc,UT-CHEM,UT-CHEM acc,UT-CZEL,UT-CZEL acc,UT-HIST,UT-HIST acc,UT-IT,UT-IT acc,UT-MATH,UT-MATH acc,UT-PHYS,UT-PHYS acc
ctu-aic/llama3.2-3b-instruct-1epoch-32batch-4gradacc-1e-4lr-merged,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,2025-01-28,chat,3.0,3,22.44724025974026,16.363636363636363,64.02701840789706,23.636363636363637,67.61363636363636,9.090909090909092,30.20030816640986,23.636363636363637,2.564102564102564,34.54545454545455,65.49493142516398,0.0,19.841269841269842,9.090909090909092,3.1446540880503147,5.454545454545454,15261.305589630672,41.81818181818181,41.143301574956254,27.27272727272727,5.427859318748269,34.54545454545455,47.113439970582824,36.36363636363637,42.21355090457609,30.909090909090907,15.611363433965625,25.454545454545453,74.39390884046651,25.454545454545453,72.7222076095732,3.6363636363636362,596.5187759126945,7.2727272727272725,1874.2139761950457,7.2727272727272725,4708.255828637527,25.454545454545453,54.90594769318442,9.090909090909092,46783.20229392492,9.090909090909092,39.65345548695479,7.2727272727272725,14749.905579389158,1.8181818181818181,28.24156305506217,0.0,22.18091697645601,30.909090909090907,53.26644349541966,27.27272727272727,73.74995560921909,9.090909090909092,56.88086288462757,30.909090909090907,59.097755659777306,23.636363636363637,73.68895696619082,23.636363636363637,61.43656994047619,36.36363636363637,68.29313768851193,40.0,61.95533106134372,0.0,50.60268370587957,32.72727272727273,62.488288288288295,40.0,56.74922979362964,23.636363636363637,60.249429762561626,10.909090909090908,75.56170510981336,29.09090909090909,83.27614530452337,30.909090909090907,85.39970408009071,78.18181818181819,79.98902284327487,20.0,62.63440822459455,7.2727272727272725,1834.885709062644,49.09090909090909,80.11582538853337,16.363636363636363,71.0,12.727272727272727,71.0,7.2727272727272725,61.0,20.0,78.0,12.727272727272727,73.0,7.2727272727272725,65.0,9.090909090909092,67.0
meta-llama/Llama-3.1-405B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3.1-405B-Instruct,2024-09-23,chat,406.0,3,90.294237012987,96.36363636363636,96.3298407251845,94.54545454545455,94.6590909090909,96.36363636363636,69.64560862865947,98.18181818181819,36.01286173633441,100.0,94.41363546014709,89.0909090909091,44.44444444444444,92.72727272727272,22.641509433962266,89.0909090909091,401.11442631180006,96.36363636363636,68.44254326268715,100.0,26.28808864265928,98.18181818181819,76.72366243794815,90.9090909090909,53.458673288400135,100.0,58.90105975598896,100.0,87.25556511524512,94.54545454545455,89.63610374352359,94.54545454545455,53.82650143123176,90.9090909090909,77.06913544389539,90.9090909090909,122.72544581919384,100.0,79.87913566233658,94.54545454545455,411.93483609571285,100.0,70.02589125672178,94.54545454545455,272.2875566184582,94.54545454545455,70.07104795737122,92.72727272727272,41.511771995043375,92.72727272727272,70.90743316144224,90.9090909090909,86.37558151923008,38.18181818181819,64.79907316254308,100.0,75.47284215529353,92.72727272727272,90.19660106891081,96.36363636363636,78.96391369047619,96.36363636363636,80.51183321625864,94.54545454545455,77.35617494320024,80.0,65.81409307528826,94.54545454545455,84.90414414414415,94.54545454545455,73.19294855470837,96.36363636363636,95.38555653971774,83.63636363636363,95.2217517091006,83.63636363636363,88.96545474272773,100.0,95.72494767566,49.09090909090909,78.88044482257742,81.81818181818183,88.39567406170626,92.72727272727272,104.39794027080961,47.27272727272727,79.8460814042706,89.0909090909091,97.0,87.27272727272727,98.0,100.0,85.0,80.0,97.0,87.27272727272727,100.0,92.72727272727272,97.0,78.18181818181819,91.0
Qwen/Qwen2.5-72B,https://huggingface.co/Qwen/Qwen2.5-72B,2024-11-07,pretrained,72.7,3,85.87053571428572,90.9090909090909,95.36209394291507,96.36363636363636,94.43181818181819,87.27272727272727,65.17719568567027,87.27272727272727,22.756410256410255,87.27272727272727,89.95179884714769,94.54545454545455,52.38095238095239,96.36363636363636,25.157232704402517,83.63636363636363,484.43966005658626,100.0,69.82306047054249,90.9090909090909,21.794516754361673,92.72727272727272,74.33351719066005,100.0,57.07697765164952,85.45454545454545,46.37100365126013,98.18181818181819,86.9173786267774,96.36363636363636,89.998438182784,92.72727272727272,56.235602952938436,78.18181818181819,96.16285890152282,87.27272727272727,137.22088126150987,81.81818181818183,71.99697313658721,81.81818181818183,635.666067483408,81.81818181818183,63.42362079267079,78.18181818181819,414.77477580507514,81.81818181818183,58.170515097690945,96.36363636363636,45.353159851301115,96.36363636363636,71.33644296210602,87.27272727272727,85.99737206576938,30.909090909090907,63.329400696779224,87.27272727272727,70.40001118325867,50.90909090909091,82.67386214310237,87.27272727272727,76.12016369047619,100.0,82.97126900295721,96.36363636363636,78.54592664719246,67.27272727272727,63.144481157370244,92.72727272727272,83.89693693693694,90.9090909090909,72.03614102890583,92.72727272727272,93.70941900635191,72.72727272727273,93.54257018695975,63.63636363636363,87.12280423288603,90.9090909090909,93.84108322858734,50.90909090909091,79.12116609619355,100.0,93.75212436691793,87.27272727272727,118.8007650193122,96.36363636363636,96.8916310238997,83.63636363636363,96.0,83.63636363636363,97.0,18.181818181818183,63.0,70.9090909090909,95.0,85.45454545454545,99.0,92.72727272727272,97.0,87.27272727272727,94.0
meta-llama/Llama-3.3-70B-Instruct,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,2024-12-11,chat,70.6,3,80.37472943722943,74.54545454545455,91.79325308946147,78.18181818181819,92.27272727272727,89.0909090909091,67.33436055469953,92.72727272727272,26.923076923076923,89.0909090909091,90.34038958457565,63.63636363636363,36.507936507936506,81.81818181818183,16.9811320754717,60.0,829.487624161136,92.72727272727272,66.42037721174412,92.72727272727272,23.234561063417335,92.72727272727272,73.90145247288105,69.0909090909091,51.22383824051082,92.72727272727272,53.98521684922968,89.0909090909091,85.50213639037759,69.0909090909091,87.22699100449432,81.81818181818183,67.88437828258168,72.72727272727273,103.34638218272455,72.72727272727273,178.92123461974003,96.36363636363636,77.61142173829776,78.18181818181819,718.2745171427505,41.81818181818181,49.31288587930691,80.0,406.9076401861324,90.9090909090909,65.54174067495559,87.27272727272727,33.705080545229244,89.0909090909091,70.30140425584285,96.36363636363636,87.75879825277886,41.81818181818181,65.66899740614501,92.72727272727272,72.74272913448567,81.81818181818183,87.7301470349569,92.72727272727272,77.27362351190476,98.18181818181819,82.57429906947299,90.9090909090909,76.20040165530672,43.63636363636363,59.403739853735374,96.36363636363636,86.4536936936937,90.9090909090909,71.82392857677846,85.45454545454545,91.57987212596514,83.63636363636363,95.2661538225207,67.27272727272727,87.30320818162993,94.54545454545455,94.3906646354939,40.0,78.58202720427776,85.45454545454545,88.74525852055224,76.36363636363637,134.28754496650507,98.18181818181819,97.29001036633147,63.63636363636363,93.0,72.72727272727273,94.0,76.36363636363637,73.0,63.63636363636363,93.0,85.45454545454545,98.0,72.72727272727273,89.0,87.27272727272727,93.0
Qwen/Qwen2.5-72B-Instruct,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,2024-11-07,chat,72.7,3,79.14502164502164,94.54545454545455,96.05309457067926,87.27272727272727,93.52272727272727,85.45454545454545,64.56086286594761,80.0,19.871794871794872,92.72727272727272,90.6487278871,92.72727272727272,47.61904761904761,96.36363636363636,24.842767295597483,58.18181818181818,846.4192751731601,61.81818181818181,47.73478514485709,80.0,16.92052063140404,78.18181818181819,65.7014157014157,36.36363636363637,42.00070947144378,78.18181818181819,42.33680648321311,94.54545454545455,86.3485601923769,87.27272727272727,88.76624588644027,70.9090909090909,73.75240012867047,65.45454545454545,128.27062161385794,69.0909090909091,185.69060140216646,89.0909090909091,73.2456010052176,72.72727272727273,832.6674478375145,81.81818181818183,63.72236606253734,69.0909090909091,542.1680913022564,94.54545454545455,69.53818827708703,94.54545454545455,44.114002478314745,94.54545454545455,71.16168018411628,74.54545454545455,83.16346461166945,47.27272727272727,67.31827824896614,96.36363636363636,74.43751703699562,72.72727272727273,84.60831356369232,94.54545454545455,78.57235863095238,90.9090909090909,78.30844412068234,100.0,83.3272476468679,80.0,66.22620097584148,96.36363636363636,86.29585585585586,98.18181818181819,75.40170568879168,92.72727272727272,94.0221018318765,65.45454545454545,92.72384407658366,56.36363636363636,86.31235526098953,87.27272727272727,93.64261594745297,78.18181818181819,79.91502722529754,96.36363636363636,92.17982413173837,69.0909090909091,161.52660800467876,94.54545454545455,96.53582404172653,90.9090909090909,98.0,81.81818181818183,96.0,40.0,68.0,65.45454545454545,94.0,80.0,98.0,92.72727272727272,97.0,90.9090909090909,95.0
meta-llama/Llama-3.1-70B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3.1-70B-Instruct,2024-09-23,chat,70.6,3,78.92045454545456,74.54545454545455,91.84003514774746,80.0,91.81818181818183,92.72727272727272,67.79661016949152,92.72727272727272,27.652733118971064,96.36363636363636,91.18763665275293,9.090909090909092,28.57142857142857,78.18181818181819,16.352201257861633,72.72727272727273,665.451915150231,87.27272727272727,65.05930390822478,94.54545454545455,23.684210526315788,90.9090909090909,73.303916161059,69.0909090909091,51.472153245831855,94.54545454545455,55.19636655089501,96.36363636363636,86.5435510914885,96.36363636363636,89.87260974590744,85.45454545454545,62.00025323632667,80.0,90.98540743942505,78.18181818181819,162.70540107241243,98.18181818181819,78.48580690666705,80.0,661.6180355870645,92.72727272727272,65.85341565425215,85.45454545454545,366.8901200680721,87.27272727272727,62.34458259325044,81.81818181818183,32.218091697645605,89.0909090909091,70.30735275415472,85.45454545454545,85.18413295926702,41.81818181818181,64.94855369490735,90.9090909090909,72.00393510914162,78.18181818181819,88.16069394806001,90.9090909090909,76.38448660714286,94.54545454545455,79.30076055189878,96.36363636363636,78.57990506329114,63.63636363636363,62.06564580471691,90.9090909090909,82.75783783783783,85.45454545454545,68.90351074294333,90.9090909090909,92.6978774657228,85.45454545454545,95.4800413061494,74.54545454545455,88.65258890049988,96.36363636363636,94.50620976537398,54.54545454545454,79.2621464728997,80.0,88.18526887037117,81.81818181818183,122.10567155529309,78.18181818181819,91.96035388370117,72.72727272727273,94.0,74.54545454545455,94.0,27.27272727272727,65.0,65.45454545454545,94.0,85.45454545454545,98.0,72.72727272727273,89.0,72.72727272727273,90.0
meta-llama/Llama-3.1-70B,https://huggingface.co/meta-llama/Meta-Llama-3.1-70B,2024-09-23,pretrained,70.6,3,76.82765151515152,74.54545454545455,91.39875039142407,80.0,91.70454545454545,83.63636363636363,61.47919876733437,90.9090909090909,26.688102893890676,85.45454545454545,88.61160803021268,36.36363636363637,31.746031746031743,78.18181818181819,16.037735849056602,70.9090909090909,668.0643631929892,96.36363636363636,67.52867975889558,98.18181818181819,24.87534626038781,98.18181818181819,76.50303364589078,96.36363636363636,54.94856332032636,96.36363636363636,55.855374476801146,78.18181818181819,84.85356487328526,87.27272727272727,88.76280950801969,96.36363636363636,50.19657383018476,96.36363636363636,71.18653140821597,85.45454545454545,146.72119984127025,83.63636363636363,72.2827968591621,92.72727272727272,416.62703712537825,96.36363636363636,66.59032065325631,90.9090909090909,287.1757325541825,74.54545454545455,49.02309058614564,58.18181818181818,27.137546468401485,72.72727272727273,66.56995228894112,74.54545454545455,83.09510280904861,29.09090909090909,61.731470792554575,74.54545454545455,65.80526451901503,63.63636363636363,84.73803820383092,56.36363636363636,66.02232142857143,83.63636363636363,76.57183616480647,89.0909090909091,72.28578383641675,29.09090909090909,56.72065203312028,81.81818181818183,76.33765765765766,76.36363636363637,62.92586045907795,69.0909090909091,84.5591397950735,70.9090909090909,93.17852789606788,98.18181818181819,92.38296357166918,78.18181818181819,92.8444354713799,54.54545454545454,79.2471470553056,69.0909090909091,86.03272714947158,96.36363636363636,88.53110083441366,54.54545454545454,82.55369882133994,61.81818181818181,93.0,69.0909090909091,91.0,3.6363636363636362,60.0,70.9090909090909,95.0,83.63636363636363,99.0,50.90909090909091,81.0,54.54545454545454,86.0
Qwen/Qwen2.5-32B-Instruct,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,2024-11-07,chat,32.8,3,74.22957251082252,81.81818181818183,93.67764235337701,80.0,92.5,87.27272727272727,66.10169491525424,76.36363636363637,17.628205128205128,89.0909090909091,90.20100377658518,94.54545454545455,49.2063492063492,85.45454545454545,20.125786163522015,47.27272727272727,952.2325785754134,65.45454545454545,51.97355629010305,60.0,11.188036554970921,67.27272727272727,61.32561132561133,32.72727272727273,38.34693153600568,65.45454545454545,32.82571912013537,92.72727272727272,86.07058944662084,69.0909090909091,87.1879360576503,69.0909090909091,75.81679632263302,60.0,144.9839670883497,63.63636363636363,234.1283656145277,92.72727272727272,73.81221302018375,69.0909090909091,1212.5296887774366,70.9090909090909,59.31089424417447,56.36363636363636,736.851628666047,92.72727272727272,67.7619893428064,96.36363636363636,44.85749690210657,100.0,72.76233903158447,87.27272727272727,86.04797755602117,32.72727272727273,64.21819342161935,98.18181818181819,74.8275331828253,69.0909090909091,86.01682373904427,98.18181818181819,79.20665922619048,90.9090909090909,78.13001361535325,90.9090909090909,76.16135183382018,81.81818181818183,67.57631715327538,100.0,87.41261261261262,96.36363636363636,74.72150236429638,81.81818181818183,90.43633005774132,60.0,90.98076647726172,45.45454545454545,84.72360966832278,87.27272727272727,93.54945050988162,83.63636363636363,80.05428467477479,98.18181818181819,92.74823358954428,65.45454545454545,166.5930576319387,90.9090909090909,96.03033784445606,61.81818181818181,93.0,69.0909090909091,92.0,21.818181818181817,63.0,63.63636363636363,93.0,72.72727272727273,96.0,90.9090909090909,97.0,87.27272727272727,94.0
mistralai/Mistral-Large-Instruct-2411,https://huggingface.co/mistralai/Mistral-Large-Instruct-2411,2025-01-23,chat,123.0,3,74.03544372294373,96.36363636363636,96.35851811033874,81.81818181818183,92.8409090909091,85.45454545454545,64.09861325115563,98.18181818181819,32.371794871794876,90.9090909090909,90.53269727688331,80.0,40.476190476190474,81.81818181818183,17.92452830188679,0.0,71506436165.90189,69.0909090909091,53.87905891503014,87.27272727272727,20.65909720299086,96.36363636363636,75.62971134399706,69.0909090909091,51.15289109613338,98.18181818181819,56.79935880309912,76.36363636363637,84.55432218285863,67.27272727272727,86.79334855853513,0.0,279918576948.5549,0.0,72299071595.53325,0.0,59181760292.3164,85.45454545454545,72.6708799857999,0.0,672696069.2240907,49.09090909090909,50.56761601274646,0.0,1423762436886.47,96.36363636363636,71.22557726465364,90.9090909090909,37.174721189591075,98.18181818181819,71.85991081354945,96.36363636363636,87.25629461273483,41.81818181818181,65.2292461122273,94.54545454545455,74.05379147416318,74.54545454545455,85.54715511699222,94.54545454545455,78.72935267857143,83.63636363636363,76.52543989732116,87.27272727272727,71.73857919506654,80.0,66.28665401279184,85.45454545454545,81.64108108108108,100.0,75.84934913192625,94.54545454545455,95.0479000920756,72.72727272727273,93.72005114644585,36.36363636363637,84.08308162218155,92.72727272727272,94.23790895024628,96.36363636363636,80.95199364369795,90.9090909090909,89.8269642599574,3.6363636363636362,3148.1717754025576,100.0,97.69652666677548,81.81818181818183,96.0,83.63636363636363,97.0,54.54545454545454,70.0,89.0909090909091,98.0,80.0,98.0,81.81818181818183,92.0,87.27272727272727,92.0
Qwen/Qwen2-72B-Instruct,https://huggingface.co/Qwen/Qwen2-72B-Instruct,2024-09-23,chat,72.7,3,72.88419913419914,81.81818181818183,93.59159980795194,81.81818181818183,92.5,85.45454545454545,64.56086286594761,76.36363636363637,16.98717948717949,96.36363636363636,91.17968594712781,69.0909090909091,38.88888888888889,90.9090909090909,21.38364779874214,61.81818181818181,819.3599317218395,74.54545454545455,54.81236632315769,80.0,17.668235945721406,87.27272727272727,69.67273395844825,52.72727272727272,46.08017027314651,83.63636363636363,44.26039718585805,90.9090909090909,85.9932006955872,81.81818181818183,88.39407077475762,67.27272727272727,76.25873594408495,60.0,144.21254314801237,61.81818181818181,240.33256252188124,78.18181818181819,69.76535736139721,76.36363636363637,755.9231821700442,30.909090909090907,47.032463652658834,72.72727272727273,506.7181014477698,89.0909090909091,64.03197158081704,90.9090909090909,40.02478314745972,83.63636363636363,68.91304526191854,67.27272727272727,81.52100571753257,30.909090909090907,63.75799116456632,52.72727272727272,61.453578992248616,80.0,86.8410524523616,83.63636363636363,72.51134672619047,61.81818181818181,72.06857975388297,60.0,64.61477604673806,21.818181818181817,55.68429417040974,61.81818181818181,67.71315315315314,40.0,56.833490620209616,81.81818181818183,89.93673326549943,69.0909090909091,92.99671742836118,30.909090909090907,83.3782120460594,85.45454545454545,93.37717059815719,74.54545454545455,79.7117788154147,94.54545454545455,91.91211458938517,60.0,187.73185262756957,65.45454545454545,87.467528691067,78.18181818181819,96.0,83.63636363636363,96.0,16.363636363636363,63.0,70.9090909090909,95.0,85.45454545454545,98.0,83.63636363636363,93.0,76.36363636363637,90.0
