-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided         0.41%        1.615s         0.44%        1.719s       6.459us       0.000us         0.00%       0.000us       0.000us       4.71 Gb       4.71 Gb   42422.50 Gb   42422.50 Gb        266146  
                                               aten::to         0.11%     411.166ms        27.63%      107.891s     287.767us       0.000us         0.00%       76.995s     205.362us       4.71 Gb           0 b   33433.76 Gb           0 b        374924  
                                         aten::_to_copy         0.31%        1.211s        27.53%      107.480s     457.862us       0.000us         0.00%       76.995s     327.999us       4.71 Gb           0 b   33433.76 Gb           0 b        234742  
                                              aten::mul         0.30%        1.173s        11.14%       43.492s     456.746us       36.989s         9.60%       36.989s     388.457us       1.98 Kb       1.90 Kb   22573.10 Gb   22573.10 Gb         95221  
                                           aten::linear         0.14%     543.742ms        29.70%      115.944s     881.703us       0.000us         0.00%      249.839s       1.900ms           0 b           0 b   19551.30 Gb   -6174.71 Gb        131500  
                                               aten::mm         0.81%        3.161s        19.71%       76.962s     621.914us      181.714s        47.14%      181.714s       1.468ms           0 b           0 b   12941.47 Gb   12941.47 Gb        123750  
                                            aten::clone         0.06%     243.458ms         4.19%       16.359s     283.760us       0.000us         0.00%       17.611s     305.475us     250.00 Kb           0 b   11581.26 Gb           0 b         57650  
                                              aten::add         0.12%     485.117ms         7.39%       28.840s     639.259us       22.283s         5.78%       22.283s     493.921us       1.49 Kb       1.49 Kb   11408.60 Gb   11408.60 Gb         45114  
                                           aten::matmul         0.14%     544.815ms        12.11%       47.283s     600.797us       0.000us         0.00%      164.504s       2.090ms           0 b           0 b   10880.43 Gb           0 b         78700  
                                           MulBackward0         0.02%      86.378ms         6.18%       24.132s     935.359us       0.000us         0.00%       14.107s     546.777us           0 b           0 b    8533.20 Gb           0 b         25800  
