-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         0.03%      63.298ms        25.69%       50.175s       3.287ms       0.000us         0.00%      119.106s       7.803ms           0 b           0 b    3987.01 Gb           0 b         15264  
                                               aten::mm         0.32%     632.331ms        25.65%       50.112s       3.283ms      119.106s        62.72%      119.106s       7.803ms           0 b           0 b    3987.01 Gb    3987.01 Gb         15264  
                                            aten::empty         0.05%     101.479ms         0.05%     103.347ms      12.872us       0.000us         0.00%       0.000us       0.000us      29.57 Mb      29.57 Mb    2192.99 Gb    2192.99 Gb          8029  
                                               LoRA_MLP         0.13%     249.492ms         9.39%       18.336s      31.834ms        1.785s         0.94%       75.183s     130.526ms           0 b           0 b    1296.00 Gb   -2085.19 Gb           576  
                                       aten::empty_like         0.01%      21.271ms         0.09%     174.854ms      24.965us       0.000us         0.00%       0.000us       0.000us          32 b           0 b    1035.96 Gb           0 b          7004  
                                    aten::empty_strided         0.14%     279.059ms         0.14%     279.824ms      12.213us       0.000us         0.00%       0.000us       0.000us     517.35 Kb     517.35 Kb     804.17 Gb     804.17 Gb         22912  
                                              aten::add         0.01%      25.070ms         0.20%     386.601ms     261.041us        1.325s         0.70%        1.325s     894.441us       1.49 Kb       1.49 Kb     720.00 Gb     720.00 Gb          1481  
                                     Fast_RMS_Layernorm         0.26%     516.089ms         1.46%        2.848s       2.453ms     710.787ms         0.37%     710.787ms     612.219us           0 b           0 b     580.64 Gb    -144.00 Mb          1161  
                                               LoRA_QKV         0.06%     116.704ms        10.55%       20.609s      35.779ms       0.000us         0.00%       11.396s      19.785ms           0 b           0 b     432.01 Gb     -59.06 Gb           576  
                                          _fMHABackward         0.03%      56.390ms         0.27%     526.538ms       1.828ms       0.000us         0.00%        4.525s      15.713ms           0 b           0 b     432.00 Gb      -2.25 Gb           288  
